Username From;folcount;frcount;Tweet;Mention
kominfotikjp;2207;155;b'Selain itu, Dhany juga mengigatkan agar seluruh Aparatur Sipil Negara (ASN) dan Penyedia Jasa Lainnya Perorangan (PJLP) yang telah menjalani vaksinasi tahap 1, segera melakukan vaksinasi tahap 2.\n@ArizaPatria @DKIJakarta @walikotajakpus \n#infojakpus #VaksinCovid19 https://t.co/1ixq2odtF4';DKIJakarta
kominfotikjp;2207;155;b'Selain itu, Dhany juga mengigatkan agar seluruh Aparatur Sipil Negara (ASN) dan Penyedia Jasa Lainnya Perorangan (PJLP) yang telah menjalani vaksinasi tahap 1, segera melakukan vaksinasi tahap 2.\n@ArizaPatria @DKIJakarta @walikotajakpus \n#infojakpus #VaksinCovid19 https://t.co/1ixq2odtF4';walikotajakpus
Must_ThreeKu;3608;3532;b'Penasaran .. 1199 ki siapa to ?\nBikin galaw sahaja .. \n#vaksinasi\n#VaksinCovid19 \n#vaksinpulihkannegeri \n@pedulilindungi \n@PLindungi \nPenundaan dosis 2 tidak untuk semua ...';pedulilindungi
Must_ThreeKu;3608;3532;b'Penasaran .. 1199 ki siapa to ?\nBikin galaw sahaja .. \n#vaksinasi\n#VaksinCovid19 \n#vaksinpulihkannegeri \n@pedulilindungi \n@PLindungi \nPenundaan dosis 2 tidak untuk semua ...';PLindungi
JapenPerlis;1585;680;b'Tiada sebarang had bilangan pendaftaran bagi tanggungan.\n\nDaftar sekarang: https://t.co/N2nMNO4MU7\n\nSumber : @JKJAVMY\n\n#LindungDiriLindungSemua\n#VaksinCOVID19\n#KomunikasiKita\n#JabatanPenerangan \n#PerlisMaju https://t.co/C6kbuz3MVh';JKJAVMY
smkbhs;548;44;b'Alhamdulillah.\nVaksinasi gelombang 2 telah dilaksanakan. Kali ini, mereka yang menjadi garda terdepan @smkbhs menjalani vaksin Covid-19 tahap satu.\n\nSMK BISA\nSMK HEBAT\n\n#sayaberani\n#beranivaksin\n#sayasudahvaksin\n#smkbhsberanivaksin\n#VaksinCovid19\n#vaksinguru\n#vaksintenagapendidik https://t.co/RqlrBaOzS3';smkbhs
pmrbpahat;839;762;b'Tiada sebarang had bilangan pendaftaran bagi tanggungan.\n\nDaftar sekarang: https://t.co/uj15BwC1KT\n\nSumber : @JKJAVMY\n\n#LindungDiriLindungSemua\n#VaksinCOVID19\n#KomunikasiKita\n#Peneranganjohor https://t.co/uSoLKruFwz';JKJAVMY
JPenerangan;180990;201;b'Tiada sebarang had bilangan pendaftaran bagi tanggungan.\n\nDaftar sekarang: https://t.co/py0lGyizio\n\nSumber : @JKJAVMY\n\n#LindungDiriLindungSemua\n#VaksinCOVID19\n#KomunikasiKita\n#JabatanPenerangan https://t.co/cCU77vZxc9';JKJAVMY
dewi_darmawati;9933;9894;"b'@SintaElvhee2_ @jokowi kabarnya vaksin AZ akhirnya cuma dikirim ke Jawa Timur, Bali, NTT, Maluku, SulUt \xf0\x9f\x98\x8a\n\nq suka daerahku ga termasuk daerah kaum ""nganu"" \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\n\n#VaksinCovid19 \n#VaksinasiNasional \n#VaksinPulihkanNegeri'";SintaElvhee2_
dewi_darmawati;9933;9894;"b'@SintaElvhee2_ @jokowi kabarnya vaksin AZ akhirnya cuma dikirim ke Jawa Timur, Bali, NTT, Maluku, SulUt \xf0\x9f\x98\x8a\n\nq suka daerahku ga termasuk daerah kaum ""nganu"" \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\n\n#VaksinCovid19 \n#VaksinasiNasional \n#VaksinPulihkanNegeri'";jokowi
SinarOnline;688745;566;b'Hanya 21 peratus rakyat di Perak telah mendaftar untuk mendapatkan #VaksinCovid19  menerusi aplikasi MySejahtera setakat ini -  @saaranimohamad \n#sinarharian \nhttps://t.co/8o9mkdGkvS';saaranimohamad
SinarOnline;688745;566;b'6,155,213 individu daftar suntikan #VaksinCovid19  hingga kini - @Khairykj https://t.co/QLYdAGy0hF';Khairykj
KementerianLHK;161336;316;b'Halo #SobatHijau,  kalian sudah vaksin kedua? Yuk pakai twibbon  melalui tautan berikut:\n\nhttps://t.co/5xvC8V4696\n\nPasang twibbon pada profile picture whatsapp atau unggah di media sosial  dan tag @kementerianlhk serta tagar #KLHKdivaksin #KLHK #vaksinCovid19 #IndonesiaTangguh https://t.co/2e7nf3YSpT';KementerianLHK
bernamaradio;93439;559;b'Jumlah terkini pemberian vaksin dos 1 dan dos 2 - @JKJAVMY  \n\n#VaksinCOVID19\n#LindungDiriLindungSemua https://t.co/3pOmlF634v';JKJAVMY
kabarsleman;22406;236;b'Pemkab Sleman mengharapkan pelaksanaan vaksinasi COVID-19 berjalan dengan baik dan lancar.\n\nMaturnuwun \xf0\x9f\x98\x8a\xf0\x9f\x99\x8f\n\n#VaksinCovid19\n#VaksinasiCovid19\n#sleman\n\n@DinkesSleman';DinkesSleman
wartakotalive;1059;596;b'Sentra Vaksinasi Jakarta Utara Dibuka Senin 22 Maret, Target untuk Lansia, ASN dan PJLP\n \nhttps://t.co/ACeP2gQfHK lewat @wartakotalive #VaksinasiNasional #vaksincovid19  #VaksinSuksesAkhiriPandemi #COVID19';wartakotalive
RakyatMerdeka99;2055;207;b'Ahmad Muzani Minta Kader Gerindra Sukseskan Vaksinasi Demi Pemulihan Parekraf Bali\n\n@Fraksi_Gerindra @Gerindra #Gerindra #Vaksin #vaksincovid19 #Vaksinasi #VaksinasiNasional #Corona #coronavirus #COVID19 #COVID\xe3\x83\xbc19 #Covid_19 #COVID #RakyatMerdeka #RMid \n\nhttps://t.co/AD4uvWruZU';Fraksi_Gerindra
RakyatMerdeka99;2055;207;b'Ahmad Muzani Minta Kader Gerindra Sukseskan Vaksinasi Demi Pemulihan Parekraf Bali\n\n@Fraksi_Gerindra @Gerindra #Gerindra #Vaksin #vaksincovid19 #Vaksinasi #VaksinasiNasional #Corona #coronavirus #COVID19 #COVID\xe3\x83\xbc19 #Covid_19 #COVID #RakyatMerdeka #RMid \n\nhttps://t.co/AD4uvWruZU';Gerindra
RakyatMerdeka99;2055;207;b'AstraZeneca &amp Sinovac Dibolehkan MUI, PDIP: Vaksinasi Harus Didukung\n\n@nabilharoen @DPR_RI #AstraZeneca #Sinovac #Vaksin #vaksincovid19 #vaksinasi #Corona #coronavirus #COVID19 #COVID\xe3\x83\xbc19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMid \n\nhttps://t.co/Qo0QoQPsGF';nabilharoen
RakyatMerdeka99;2055;207;b'AstraZeneca &amp Sinovac Dibolehkan MUI, PDIP: Vaksinasi Harus Didukung\n\n@nabilharoen @DPR_RI #AstraZeneca #Sinovac #Vaksin #vaksincovid19 #vaksinasi #Corona #coronavirus #COVID19 #COVID\xe3\x83\xbc19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMid \n\nhttps://t.co/Qo0QoQPsGF';DPR_RI
Reni_AmeL;156;248;b'Bismillah..\nKami sudah divaksinasi\n@akhmadmunim\n\n#part1\n#vaks\xc3\xacncovid19 \n#vaks\xc3\xacnasicovid19 \n#vaksin \n#coronavac \n#BPS https://t.co/JEpjEu5Zwu';AkhmadMunim
wartakotalive;1059;596;b'Menkominfo Ingatkan Tidak Perlu Unggah Sertifikat Vaksin Covid-19 di Media Sosial, Ini Bahayanya\n \nhttps://t.co/sIQA91Jk6C lewat @wartakotalive #VaksinSuksesAkhiriPandemi #vaksincovid19 #vaksinpulihkannegeri';wartakotalive
wartakotalive;1059;596;b'Insan Pers Apresiasi Pemerintah dengan Memberikan Vaksinasi Covid-19 untuk Wartawan\n \nhttps://t.co/YzQskd4beZ lewat @wartakotalive #vaksincovid19 #VaksinasiNasional #vaksinpulihkannegeri';wartakotalive
holopiscom;13;301;b'Epidemiolog UI: Vaksin COVID-19 AstraZeneca Manfaatnya Lebih  Besar https://t.co/iEL9kE5suw via @holopiscom \n\n#vaksincovid19 #vaksinpulihkannegeri #AstraZeneca';holopiscom
tribunkaltim;30574;3626;b'Ada Kandungan Tripsin Babi, MUI Sebut Vaksin AstraZeneca Haram, tapi Boleh Dipakai Vaksinasi Corona\n \nhttps://t.co/jiLKKNue7C via @tribunkaltim \n\n#Babi #tripsinBabi #Enzim #MUI #Vaksin #vaksincovid19 #Haram #VaksinasiNasional #vaksinasiCorona';tribunkaltim
enitarobentrop;317;570;b'@narasitv Wish listnya cuma diVaksin #VaksinasiNasional #vaksincovid19 https://t.co/RGChjX2Egu';narasitv
iriantililis;155;370;b'maapkan daku yg pobia jarsun\n\xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x80\xe2\x9c\x85\n\xf0\x9f\x92\x89\xe2\x9d\x8e\n\n#vaksincovid19 \n@seputarciamis \n@TMC_ResCiamis \n@dinkesciamis https://t.co/uH8Pi3sVv8';seputarciamis
